TotalIncomingRequests,EOFErrors,ECONNREFUSEDErrors,TrueECONNRESETErrors,TotalOutgoingRequests,OutgoingNetworkErrors,Hostname,SuccessfulOutgoingRequests,FailedOutgoingRequests,OutgoingUnknownErrors,OutgoingHTTPErrors,ForceClosedErrors,ECONNABORTEDErrors
363,0,0,0,378544,0,go-server-deployment-56dd4c9fc7-xkrtk,378544,0,0,0,0,0
238650,0,0,0,430153,0,go-server-deployment-84ddfbc887-fxhjt,430153,0,0,0,0,0
0,0,0,0,1033393,0,go-server-deployment-84ddfbc887-9b9zz,1033393,0,0,0,0,0
0,0,0,0,443911,0,go-server-deployment-84ddfbc887-ljkmd,443911,0,0,0,0,0
555903,0,1,0,313648,1,go-server-deployment-84ddfbc887-xkkd7,313647,1,0,0,0,0
999286,0,1,0,740755,2,go-server-deployment-84ddfbc887-l7xm4,740753,2,0,0,0,0
247975,0,1,0,93076,1,go-server-deployment-56dd4c9fc7-7tpc7,93075,1,0,0,0,0
1468,0,0,0,282077,0,go-server-deployment-84ddfbc887-mvshl,282077,0,0,0,0,0
81962,0,0,0,348395,0,go-server-deployment-84ddfbc887-wdn7p,348395,0,0,0,0,0
0,0,0,0,281668,0,go-server-deployment-56dd4c9fc7-r2484,281668,0,0,0,0,0
4988,0,0,0,561584,0,go-server-deployment-84ddfbc887-2n4jv,561584,0,0,0,0,0
0,0,3,0,1016527,3,go-server-deployment-84ddfbc887-5s8zr,1016524,3,0,0,0,0
397217,0,2,0,223009,2,go-server-deployment-84ddfbc887-kkdc4,223007,2,0,0,0,0
287649,0,0,0,242098,0,go-server-deployment-56dd4c9fc7-5dtkj,242098,0,0,0,0,0
2244303,0,2,0,510235,2,go-server-deployment-84ddfbc887-q2jw7,510233,2,0,0,0,0
570849,0,5,0,163192,5,go-server-deployment-56dd4c9fc7-hpmfv,163187,5,0,0,0,0
517014,0,1,0,184866,1,go-server-deployment-56dd4c9fc7-5znqp,184865,1,0,0,0,0
518203,0,1,0,224082,2,go-server-deployment-56dd4c9fc7-4m7gv,224080,2,0,0,0,0
0,0,0,0,128619,1,go-server-deployment-56dd4c9fc7-sc6r7,128618,1,0,0,0,0
2102544,0,20,0,477720,20,go-server-deployment-56dd4c9fc7-db9sc,477700,20,0,0,0,0
0,0,0,0,976594,0,go-server-deployment-84ddfbc887-67v47,976594,0,0,0,0,0
0,0,0,0,238703,0,go-server-deployment-84ddfbc887-2m9sc,238703,0,0,0,0,0
77320,0,0,0,549872,0,go-server-deployment-56dd4c9fc7-92wg2,549872,0,0,0,0,0
1497,0,0,0,354037,0,go-server-deployment-84ddfbc887-t6xxh,354037,0,0,0,0,0
963675,0,0,0,220177,0,go-server-deployment-84ddfbc887-9g6g8,220177,0,0,0,0,0
187562,0,0,0,377626,0,go-server-deployment-84ddfbc887-cxnf5,377626,0,0,0,0,0
182218,0,0,0,341277,0,go-server-deployment-56dd4c9fc7-q2st4,341277,0,0,0,0,0
203235,0,0,0,209284,0,go-server-deployment-56dd4c9fc7-7xqwz,209284,0,0,0,0,0
1083,0,0,0,417332,0,go-server-deployment-84ddfbc887-s4qfp,417332,0,0,0,0,0
361345,0,3,0,102642,3,go-server-deployment-56dd4c9fc7-p4ww6,102639,3,0,0,0,0
592853,0,14,0,726319,14,go-server-deployment-56dd4c9fc7-pp4ph,726305,14,0,0,0,0
3296421,0,1,0,669594,1,go-server-deployment-84ddfbc887-kns8h,669593,1,0,0,0,0
0,0,3,0,179367,3,go-server-deployment-84ddfbc887-v52k7,179364,3,0,0,0,0
0,0,0,0,531016,0,go-server-deployment-84ddfbc887-w5rx4,531016,0,0,0,0,0
1891951,0,1,0,861248,1,go-server-deployment-84ddfbc887-sdb87,861247,1,0,0,0,0
0,0,2,0,298101,2,go-server-deployment-84ddfbc887-qghpf,298099,2,0,0,0,0
0,0,0,0,749349,0,go-server-deployment-84ddfbc887-g7m5s,749349,0,0,0,0,0
302658,0,0,0,539054,0,go-server-deployment-84ddfbc887-ngsld,539054,0,0,0,0,0
778373,0,1,0,598189,1,go-server-deployment-84ddfbc887-6l4xm,598188,1,0,0,0,0
465273,0,0,0,326137,0,go-server-deployment-84ddfbc887-8767f,326137,0,0,0,0,0
0,0,0,0,222275,0,go-server-deployment-56dd4c9fc7-bz468,222275,0,0,0,0,0
0,0,0,0,535191,0,go-server-deployment-84ddfbc887-27llt,535191,0,0,0,0,0
2190564,0,0,0,314144,0,go-server-deployment-84ddfbc887-rzm6j,314144,0,0,0,0,0
0,0,0,0,231288,0,go-server-deployment-56dd4c9fc7-7z6gv,231288,0,0,0,0,0
0,0,1,0,353263,1,go-server-deployment-84ddfbc887-mlwkb,353262,1,0,0,0,0
503753,0,1,0,242272,1,go-server-deployment-84ddfbc887-64jgh,242271,1,0,0,0,0
0,0,0,0,834289,0,go-server-deployment-84ddfbc887-x7psj,834289,0,0,0,0,0
110670,0,0,0,206468,0,go-server-deployment-84ddfbc887-5s7lk,206468,0,0,0,0,0
0,0,0,0,815174,0,go-server-deployment-84ddfbc887-jm5f8,815174,0,0,0,0,0
0,0,0,0,529234,0,go-server-deployment-84ddfbc887-wvhgz,529234,0,0,0,0,0
0,0,0,0,445145,0,go-server-deployment-84ddfbc887-mg6z7,445145,0,0,0,0,0
